Nome,Data,Latitude,Longitude,Stato,Categoria,Link_thumbnail,id,Thumbnail,,
teatro_carcano,2023:08:22,45.456473,9.195221,attivo,Cinema Teatro,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/87.jpg,87,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/87.jpg?raw=true"">",,
teatro_circo_molino,2023:08:22,45.456462,9.182202,non attivo,Teatro,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/88.jpg,88,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/88.jpg?raw=true"">",,
teatro_dal_verme,2021:08:10,45.46726845,9.181789348,attivo,Cinema Teatro,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/89.jpg,89,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/89.jpg?raw=true"">",,
teatro_del_convegno,2023:08:22,45.467266,9.192277972,non attivo,Teatro,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/90.jpg,90,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/91.jpg?raw=true"">",,
teatro_dell_arte,2023:08:22,45.472143,9.173144972,attivo,Teatro/Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/91.jpg,91,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/90.jpg?raw=true"">",,
teatro_gerolamo,2021:08:10,45.4641867,9.1945688,attivo,Teatro/Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/92.jpg,92,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/92.jpg?raw=true"">",,
teatro_lirico,2021:08:10,45.46224324,9.191238341,attivo,Teatro/Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/93.jpg,93,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/93.jpg?raw=true"">",,
teatro_manzoni,2023:08:22,45.47138695,9.193978595,attivo,Teatro/Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/94.jpg,94,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/94.jpg?raw=true"">",,
teatro_nuovo,2023:08:22,45.46643197,9.197639972,non attivo,Teatro/Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/95.jpg,95,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/95.jpg?raw=true"">",,
teatro_odeon,2023:08:22,45.464779,9.192088,non attivo,Teatro,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/96.jpg,96,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/96.jpg?raw=true"">",,
